trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
133,False,"{'a': 0.4, 'e': 0.9911685298451072}",25,8,-134.9765103006555,"{0: 9, 1: 1, 2: 4, 3: 1, 4: 2}",1
134,False,"{'a': 0.4, 'e': 0.9910354260424993}",25,0,-58.658268498064544,"{0: 15, 1: 5, 2: 5, 3: 0, 4: 0}",0
135,False,"{'a': 0.4, 'e': 0.9909013312045479}",20,0,-54.00845241028942,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
136,False,"{'a': 0.4, 'e': 0.990766245465348}",20,0,-39.23247711327944,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
137,False,"{'a': 0.4, 'e': 0.9906301689599851}",20,6,-91.52314872424041,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 2}",1
138,False,"{'a': 0.4, 'e': 0.9904931018245359}",25,0,-83.14185379301931,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
139,False,"{'a': 0.4, 'e': 0.9903550441960673}",35,0,-198.25631035329863,"{0: 21, 1: 4, 2: 6, 3: 1, 4: 3}",0
140,False,"{'a': 0.4, 'e': 0.9902159962126371}",20,0,-120.96862462029354,"{0: 12, 1: 2, 2: 2, 3: 3, 4: 1}",0
141,False,"{'a': 0.4, 'e': 0.9900759580132933}",20,0,-41.20701103326153,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
142,False,"{'a': 0.4, 'e': 0.9899349297380738}",30,0,-155.96789329815786,"{0: 19, 1: 4, 2: 4, 3: 0, 4: 3}",0
143,False,"{'a': 0.4, 'e': 0.9897929115280072}",25,0,-117.535345928706,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
144,False,"{'a': 0.4, 'e': 0.9896499035251115}",20,0,-68.89601332561274,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
145,False,"{'a': 0.4, 'e': 0.9895059058723947}",20,0,-101.37905419027628,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
146,False,"{'a': 0.4, 'e': 0.9893609187138546}",20,0,-103.52733953958297,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
147,False,"{'a': 0.4, 'e': 0.9892149421944781}",20,4,-62.39637725558546,"{0: 8, 1: 3, 2: 4, 3: 1, 4: 0}",1
148,False,"{'a': 0.4, 'e': 0.989067976460242}",25,0,-86.50644474233711,"{0: 15, 1: 5, 2: 4, 3: 0, 4: 1}",0
149,False,"{'a': 0.4, 'e': 0.9889200216581118}",20,0,-112.68695383411684,"{0: 13, 1: 1, 2: 2, 3: 3, 4: 1}",0
150,False,"{'a': 0.4, 'e': 0.9887710779360422}",25,0,-70.10050834633076,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
151,False,"{'a': 0.4, 'e': 0.9886211454429773}",20,0,-75.8246600929902,"{0: 12, 1: 2, 2: 4, 3: 2, 4: 0}",0
152,False,"{'a': 0.4, 'e': 0.9884702243288492}",25,0,-115.79870176432398,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
153,False,"{'a': 0.4, 'e': 0.9883183147445792}",35,0,-122.58739593805457,"{0: 22, 1: 3, 2: 7, 3: 3, 4: 0}",0
154,False,"{'a': 0.4, 'e': 0.9881654168420767}",20,0,-112.90898186839289,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
155,False,"{'a': 0.4, 'e': 0.9880115307742399}",20,0,-56.7764550472841,"{0: 14, 1: 2, 2: 2, 3: 2, 4: 0}",0
156,False,"{'a': 0.4, 'e': 0.9878566566949545}",20,0,-103.83785008067598,"{0: 10, 1: 6, 2: 1, 3: 2, 4: 1}",0
157,False,"{'a': 0.4, 'e': 0.9877007947590948}",20,0,-92.61474139563022,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
158,False,"{'a': 0.4, 'e': 0.9875439451225226}",20,0,-176.1929169780292,"{0: 8, 1: 2, 2: 7, 3: 1, 4: 2}",0
159,False,"{'a': 0.4, 'e': 0.9873861079420876}",20,0,-117.76720392002396,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
160,False,"{'a': 0.4, 'e': 0.9872272833756269}",30,0,-153.6725061863988,"{0: 18, 1: 1, 2: 7, 3: 3, 4: 1}",0
